iteration,1,2,3,4
228,16262,18231,40118,4817
229,16247,18219,40254,4697
230,16230,18217,40427,4593
231,16223,18207,40555,4491
232,16220,18196,40654,4409
233,16211,18195,40738,4323
234,16203,18188,40879,4265
235,16197,18181,41001,4190
236,16189,18175,41139,4126
237,16185,18173,41228,4066
238,16184,18167,41348,4019
239,16186,18165,41393,3982
240,16184,18165,41479,3948
241,16179,18163,41543,3928
242,16176,18160,41592,3898
243,16176,18159,41622,3876
244,16176,18158,41664,3852
245,16175,18159,41700,3826
246,16176,18158,41729,3814
247,16177,18158,41770,3791
248,16176,18158,41790,3769
249,16176,18158,41801,3746
250,16176,18158,41817,3733
251,16176,18158,41825,3712
252,16177,18158,41835,3700
253,16177,18158,41847,3688
254,16177,18158,41861,3672
255,16177,18158,41889,3658
256,16177,18158,41894,3646
257,16177,18158,41904,3620
258,16177,18158,41917,3594
259,16177,18158,41936,3586
260,16177,18159,41938,3568
261,16178,18159,41937,3553
262,16177,18159,41974,3543
263,16176,18159,41959,3528
264,16176,18159,41975,3519
265,16173,18160,41993,3506
266,16170,18160,42025,3494
267,16170,18160,42052,3488
268,16169,18160,42060,3481
269,16169,18160,42055,3476
270,16168,18158,42067,3470
271,16167,18158,42093,3460
272,16168,18159,42099,3455
273,16167,18159,42112,3443
274,16167,18160,42113,3436
275,16168,18161,42118,3427
276,16168,18161,42115,3419
277,16171,18161,42122,3405
278,16170,18160,42133,3392
279,16170,18161,42155,3378
280,16167,18161,42154,3368
281,16168,18160,42160,3360
282,16168,18160,42154,3353
283,16167,18160,42158,3343
284,16165,18160,42177,3337
285,16166,18160,42178,3333
286,16165,18159,42192,3326
287,16165,18158,42205,3319
288,16165,18159,42218,3320
289,16166,18158,42215,3320
290,16166,18158,42225,3314
291,16166,18158,42228,3307
292,16163,18158,42245,3302
293,16163,18158,42244,3300
294,16162,18158,42250,3297
295,16162,18158,42253,3296
296,16161,18158,42254,3288
297,16161,18159,42244,3283
298,16162,18158,42256,3279
299,16162,18161,42270,3272
300,16160,18162,42266,3259
301,16158,18162,42279,3248
302,16157,18162,42291,3238
303,16158,18163,42281,3228
304,16155,18163,42265,3219
305,16157,18162,42245,3199
306,16156,18162,42257,3197
307,16155,18161,42244,3188
308,16153,18160,42204,3168
309,16151,18159,42199,3150
310,16151,18158,42193,3135
311,16152,18156,42158,3124
312,16150,18156,42174,3108
313,16150,18154,42095,3071
314,16149,18156,42068,3041
315,16149,18151,42041,3006
316,16146,18147,41959,2972
317,16145,18142,41947,2919
318,16142,18137,41973,2858
319,16134,18136,42010,2808
320,16127,18132,42059,2759
321,16110,18126,42082,2694
322,16098,18124,42100,2640
323,16088,18113,42208,2589
324,16071,18099,42255,2525
325,16064,18091,42306,2453
326,16037,18084,42453,2386
327,16023,18075,42566,2324
328,16005,18064,42617,2249
329,15987,18051,42722,2186
330,15977,18040,42902,2141
331,15960,18029,42982,2079
332,15943,18020,43116,2021
333,15934,18004,43317,1982
334,15924,17997,43346,1923
335,15917,17989,43405,1873
336,15902,17981,43556,1819
337,15894,17976,43616,1777
338,15883,17964,43663,1734
339,15875,17950,43819,1691
340,15868,17942,43893,1669
341,15863,17938,43967,1636
342,15859,17930,44073,1617
343,15858,17926,44103,1595
344,15846,17919,44204,1561
345,15844,17915,44248,1540
346,15843,17911,44241,1519
347,15840,17903,44317,1486
348,15834,17902,44383,1467
349,15834,17902,44444,1447
350,15832,17902,44496,1426
351,15833,17899,44538,1414
352,15832,17901,44594,1398
353,15831,17898,44632,1387
354,15832,17895,44644,1374
355,15831,17893,44672,1367
356,15830,17892,44720,1360
357,15830,17891,44752,1351
358,15829,17889,44777,1349
359,15829,17888,44774,1342
360,15829,17887,44790,1322
361,15828,17887,44794,1314
