iteration,1,2,3,4,5
199,5789,6405,0,46247,5913
200,5862,6492,0,46258,5997
201,5961,6588,1,46263,6085
202,6063,6664,1,46261,6197
203,6118,6742,0,46262,6273
204,6214,6855,0,46275,6360
205,6302,6960,1,46273,6455
206,6383,7052,1,46274,6547
207,6460,7162,0,46274,6641
208,6546,7238,0,46269,6707
209,6629,7307,0,46247,6809
210,6707,7375,1,46181,6888
211,6774,7444,1,46073,6942
212,6800,7512,0,45912,6999
213,6817,7559,0,45640,7016
214,6787,7568,1,45218,7019
215,6730,7499,0,44733,6982
216,6611,7360,1,43964,6864
217,6388,7101,2,43191,6628
218,6122,6791,0,42540,6335
219,5813,6396,1,42068,6004
220,5387,6000,0,41629,5622
221,5002,5534,0,41502,5172
222,4638,5099,0,41501,4768
223,4273,4646,0,41723,4345
224,3906,4301,0,42065,3975
225,3608,3948,0,42446,3676
226,3325,3620,0,42844,3366
227,3077,3363,0,43306,3100
228,2869,3167,1,43651,2896
229,2678,2944,1,44109,2681
230,2505,2772,2,44377,2569
231,2386,2666,0,44512,2492
232,2298,2527,0,44679,2376
233,2214,2442,0,44863,2292
234,2155,2390,0,44910,2236
235,2110,2311,1,44939,2153
236,2058,2259,0,45049,2119
237,1992,2203,0,45123,2080
238,1935,2142,0,45279,2054
239,1891,2131,0,45324,2025
240,1868,2113,0,45353,2008
241,1864,2081,0,45432,2011
242,1848,2061,0,45443,2009
243,1844,2057,0,45436,1999
244,1844,2046,0,45438,2016
245,1835,2064,0,45474,2033
246,1852,2078,0,45476,2040
247,1874,2069,0,45496,2038
248,1883,2079,0,45548,2039
249,1905,2097,0,45595,2040
250,1904,2126,0,45657,2052
251,1921,2160,0,45700,2053
252,1934,2172,0,45772,2091
253,1956,2195,1,45852,2125
254,1986,2257,1,45908,2175
255,2042,2307,0,45961,2200
256,2077,2340,0,46050,2226
257,2122,2376,1,46131,2270
258,2151,2431,0,46189,2283
259,2220,2490,0,46273,2329
260,2272,2542,0,46341,2361
261,2327,2605,0,46402,2407
262,2385,2658,0,46441,2461
263,2426,2703,0,46486,2511
264,2491,2766,0,46552,2564
265,2559,2834,1,46598,2625
266,2607,2898,0,46617,2668
267,2654,2982,0,46663,2719
268,2718,3036,0,46714,2782
269,2762,3103,1,46745,2835
270,2812,3168,1,46768,2904
271,2879,3224,1,46792,2951
272,2928,3281,2,46833,2999
273,2974,3346,1,46885,3055
274,3045,3421,1,46905,3105
275,3101,3468,2,46936,3167
276,3173,3521,2,46986,3246
277,3235,3588,1,47010,3314
278,3296,3647,0,47027,3359
279,3355,3725,0,47054,3430
280,3421,3817,0,47076,3479
281,3479,3884,0,47101,3540
282,3537,3966,0,47131,3604
283,3603,4031,0,47164,3661
284,3661,4112,0,47217,3723
285,3726,4193,0,47242,3784
286,3805,4252,0,47264,3849
287,3870,4344,2,47285,3908
288,3931,4413,1,47296,3962
289,3992,4473,0,47324,4056
290,4059,4559,0,47354,4125
291,4126,4621,0,47369,4203
292,4175,4699,0,47390,4281
293,4243,4764,1,47420,4347
294,4305,4836,1,47430,4405
295,4370,4909,0,47439,4459
296,4433,4977,0,47457,4534
297,4516,5045,0,47480,4606
298,4573,5108,0,47493,4669
299,4653,5176,0,47496,4727
300,4730,5261,0,47501,4795
301,4783,5322,0,47511,4859
302,4835,5367,0,47530,4949
303,4886,5423,0,47537,4992
304,4937,5482,0,47543,5071
305,5007,5582,0,47565,5122
306,5076,5664,1,47562,5190
307,5144,5736,0,47560,5241
308,5189,5800,0,47574,5297
309,5255,5864,0,47555,5349
310,5298,5905,0,47536,5404
311,5357,5973,0,47532,5461
312,5409,6042,0,47504,5509
313,5448,6110,0,47477,5568
314,5506,6162,0,47436,5619
315,5560,6228,0,47395,5667
316,5623,6272,0,47320,5724
317,5674,6309,0,47202,5777
318,5715,6349,0,47101,5827
319,5762,6409,0,46907,5873
320,5773,6424,0,46674,5893
321,5765,6431,0,46391,5916
322,5711,6376,0,45988,5889
323,5623,6323,0,45499,5847
324,5519,6267,0,44951,5799
325,5424,6135,0,44317,5685
326,5242,5950,0,43679,5532
327,5021,5733,0,42907,5260
328,4791,5406,0,42276,4990
329,4581,5113,0,41775,4736
330,4335,4792,0,41516,4467
331,4076,4481,0,41351,4156
332,3814,4180,0,41311,3849
333,3565,3936,0,41351,3613
334,3301,3652,0,41484,3357
335,3099,3430,1,41661,3185
336,2930,3234,0,41810,2989
337,2782,3049,0,41998,2829
338,2663,2943,0,42085,2681
339,2578,2795,0,42118,2545
340,2461,2644,1,42304,2433
341,2347,2532,2,42496,2337
342,2273,2470,1,42635,2263
343,2181,2416,1,42699,2169
344,2146,2378,0,42730,2119
345,2081,2321,1,42780,2072
346,2055,2282,2,42847,2035
347,2023,2239,1,42866,2027
348,2031,2211,0,42887,1992
349,2000,2197,0,42928,1976
350,1996,2189,0,42953,1979
351,1986,2183,0,42913,1960
352,1978,2167,1,42886,1944
353,1986,2154,1,42846,1964
354,1989,2162,1,42878,1956
355,2016,2141,1,42856,1973
356,2023,2172,1,42863,1984
357,2037,2172,1,42880,1979
358,2018,2190,1,42900,1988
