iteration,1,2,3
291,22236,35514,22205
292,22238,35515,22199
293,22235,35516,22193
294,22229,35521,22190
295,22232,35517,22196
296,22225,35516,22195
297,22228,35516,22196
298,22240,35516,22189
299,22230,35517,22188
300,22228,35518,22192
301,22218,35522,22182
302,22218,35520,22183
303,22196,35523,22165
304,22181,35523,22173
305,22156,35526,22180
306,22154,35525,22162
307,22149,35522,22149
308,22132,35521,22137
309,22112,35516,22135
310,22091,35514,22120
311,22078,35522,22102
312,22063,35525,22084
313,22003,35520,22096
314,21979,35520,22074
315,21964,35516,22043
316,21928,35517,21987
317,21941,35510,21951
318,21916,35508,21909
319,21925,35509,21849
320,21956,35512,21805
321,22015,35506,21820
322,22043,35497,21803
323,22013,35486,21802
324,22030,35485,21812
325,21996,35491,21787
326,21979,35471,21765
327,21950,35465,21811
328,21984,35451,21812
329,22018,35427,21896
330,21991,35420,21949
331,22025,35407,21969
332,22022,35397,21981
333,22077,35369,22042
334,22072,35358,22027
335,22075,35354,22007
336,22093,35332,22055
337,22102,35330,22068
338,22088,35320,22081
339,22120,35304,22156
340,22116,35291,22187
341,22125,35281,22207
342,22164,35281,22194
343,22143,35280,22211
344,22167,35282,22185
345,22191,35280,22207
346,22212,35283,22203
347,22242,35275,22222
348,22268,35276,22219
349,22254,35281,22260
350,22256,35281,22274
351,22291,35279,22268
352,22299,35275,22267
353,22284,35279,22270
354,22303,35276,22276
355,22337,35279,22258
356,22340,35276,22272
357,22343,35280,22279
358,22334,35279,22291
359,22334,35283,22287
360,22332,35286,22283
361,22331,35290,22304
362,22318,35291,22298
363,22311,35292,22290
364,22316,35294,22291
365,22333,35297,22273
366,22346,35298,22269
367,22320,35298,22269
368,22329,35300,22259
369,22332,35301,22247
370,22330,35303,22247
371,22321,35307,22236
372,22312,35305,22248
373,22313,35307,22239
374,22322,35310,22260
375,22331,35311,22242
376,22343,35312,22229
377,22340,35315,22230
378,22340,35316,22238
379,22353,35317,22233
380,22352,35318,22245
381,22334,35319,22244
382,22333,35318,22259
383,22334,35319,22261
384,22333,35322,22260
385,22325,35323,22258
386,22320,35322,22268
387,22323,35318,22273
388,22318,35317,22266
389,22317,35317,22272
390,22298,35317,22271
391,22303,35320,22276
392,22310,35320,22282
393,22304,35318,22277
394,22317,35314,22272
395,22323,35309,22276
396,22323,35309,22273
397,22325,35304,22273
398,22333,35308,22269
399,22339,35305,22264
400,22353,35303,22267
401,22346,35305,22275
402,22341,35303,22276
403,22340,35303,22279
404,22327,35304,22286
405,22327,35304,22287
406,22326,35305,22278
407,22319,35305,22276
408,22322,35307,22266
409,22321,35312,22268
410,22340,35309,22258
411,22345,35311,22232
412,22334,35313,22219
413,22326,35312,22229
414,22318,35308,22215
415,22308,35305,22222
416,22279,35304,22212
417,22287,35299,22201
418,22261,35303,22194
419,22230,35303,22197
420,22212,35302,22170
421,22188,35305,22148
422,22169,35306,22163
423,22131,35302,22165
424,22078,35299,22181
425,22061,35300,22180
426,22010,35300,22195
427,21996,35296,22176
428,22046,35297,22172
429,22045,35286,22112
430,21999,35283,22116
431,22008,35273,22092
432,22031,35271,22060
433,22044,35260,22037
434,22045,35249,22060
435,22052,35248,22062
436,22057,35241,22055
437,22009,35233,22016
438,22028,35216,22038
439,22091,35208,22054
440,22114,35204,22044
441,22123,35197,22066
442,22157,35173,22082
443,22194,35159,22086
444,22280,35142,22069
445,22338,35128,22071
446,22343,35117,22086
447,22341,35116,22090
448,22343,35116,22072
449,22330,35118,22097
450,22355,35115,22142
451,22362,35111,22130
452,22382,35109,22112
453,22390,35093,22148
454,22395,35108,22129
455,22409,35109,22160
456,22410,35098,22176
457,22415,35102,22170
458,22409,35095,22184
459,22406,35093,22226
460,22435,35091,22244
461,22427,35092,22266
462,22423,35093,22274
463,22404,35099,22289
464,22395,35099,22312
465,22403,35097,22327
466,22409,35098,22334
467,22393,35101,22355
468,22400,35101,22365
469,22383,35103,22374
470,22389,35104,22372
471,22370,35104,22399
472,22354,35104,22404
473,22369,35103,22415
474,22378,35105,22411
475,22364,35108,22407
476,22356,35110,22415
477,22350,35113,22417
478,22340,35117,22422
479,22345,35117,22423
480,22344,35117,22404
481,22351,35116,22396
482,22342,35116,22402
483,22347,35119,22391
484,22338,35120,22405
485,22327,35119,22416
486,22330,35121,22430
487,22307,35122,22436
488,22302,35121,22455
489,22295,35127,22450
490,22295,35126,22445
491,22299,35129,22445
492,22300,35131,22444
493,22325,35134,22424
494,22338,35135,22423
495,22342,35136,22421
496,22353,35136,22410
497,22352,35137,22403
498,22354,35137,22396
499,22355,35140,22388
500,22360,35139,22386
501,22359,35142,22368
502,22349,35139,22365
503,22362,35137,22367
504,22361,35136,22371
505,22362,35138,22378
506,22355,35140,22384
507,22369,35136,22378
508,22379,35135,22380
509,22365,35130,22393
510,22351,35134,22393
511,22367,35136,22384
512,22369,35132,22377
513,22376,35133,22379
514,22372,35134,22387
515,22364,35134,22385
516,22358,35135,22379
517,22348,35138,22379
518,22337,35138,22374
519,22337,35136,22379
520,22326,35140,22375
521,22317,35143,22370
522,22293,35145,22375
523,22299,35145,22362
524,22287,35143,22352
525,22288,35145,22346
526,22294,35145,22327
527,22286,35145,22310
528,22303,35146,22289
529,22293,35144,22270
530,22271,35142,22272
531,22270,35146,22246
532,22265,35148,22235
533,22270,35144,22207
534,22265,35147,22178
535,22263,35144,22178
536,22254,35141,22175
537,22225,35139,22158
538,22244,35137,22135
539,22205,35141,22176
540,22185,35136,22158
541,22186,35140,22129
542,22184,35143,22118
543,22164,35147,22080
544,22179,35156,22058
545,22185,35149,22083
546,22149,35151,22088
547,22149,35142,22126
548,22129,35139,22165
549,22146,35140,22164
550,22094,35132,22206
551,22064,35130,22242
552,22065,35126,22260
553,22061,35113,22259
554,22119,35106,22301
555,22082,35095,22345
556,22080,35088,22332
557,22075,35084,22338
558,22092,35079,22348
559,22120,35074,22376
560,22081,35070,22419
561,22073,35060,22434
562,22070,35065,22458
563,22082,35062,22495
564,22084,35060,22515
565,22096,35060,22525
566,22118,35060,22554
567,22103,35052,22540
568,22107,35055,22540
569,22117,35051,22580
570,22119,35042,22581
571,22155,35041,22581
572,22160,35036,22571
573,22174,35039,22553
574,22184,35036,22538
575,22164,35041,22552
576,22209,35036,22537
577,22226,35034,22546
578,22220,35034,22541
579,22226,35031,22558
580,22241,35029,22567
581,22230,35030,22581
582,22232,35031,22591
583,22218,35035,22601
584,22215,35038,22606
585,22241,35039,22592
586,22243,35037,22598
587,22228,35039,22604
588,22234,35043,22584
589,22252,35042,22570
590,22237,35041,22577
591,22229,35037,22585
592,22226,35040,22584
593,22231,35042,22577
594,22234,35044,22568
595,22246,35045,22569
596,22241,35048,22568
597,22242,35048,22567
598,22234,35047,22566
599,22241,35049,22578
600,22235,35050,22573
601,22225,35054,22574
602,22239,35055,22575
603,22246,35055,22571
604,22243,35053,22554
605,22232,35054,22561
606,22242,35058,22555
607,22256,35059,22549
608,22251,35060,22560
609,22240,35063,22559
610,22257,35070,22570
611,22250,35067,22564
612,22220,35069,22573
613,22222,35072,22566
614,22212,35073,22567
615,22230,35071,22561
616,22217,35067,22551
617,22214,35067,22553
618,22219,35070,22555
619,22234,35068,22549
620,22233,35070,22549
621,22222,35070,22577
622,22215,35075,22588
623,22199,35082,22569
624,22192,35084,22572
625,22179,35085,22582
626,22176,35080,22554
627,22185,35082,22566
628,22162,35083,22568
629,22173,35082,22556
630,22183,35084,22570
631,22185,35082,22567
632,22195,35087,22537
633,22177,35086,22543
634,22187,35086,22524
635,22170,35088,22507
636,22149,35091,22476
637,22163,35092,22436
638,22146,35089,22438
639,22133,35098,22427
640,22126,35100,22427
641,22134,35101,22416
642,22126,35098,22403
643,22109,35097,22413
644,22063,35094,22438
645,22052,35078,22431
646,22063,35085,22439
647,22025,35085,22432
648,22039,35090,22413
649,22058,35087,22409
650,22032,35083,22428
651,22004,35078,22418
652,21975,35074,22446
653,21963,35070,22445
654,21961,35067,22474
655,21940,35066,22491
656,21919,35058,22495
657,21924,35053,22480
658,21923,35052,22476
659,21896,35048,22484
660,21898,35045,22497
661,21972,35043,22532
662,21966,35039,22509
663,21982,35038,22475
664,21962,35042,22494
665,21967,35039,22522
666,22000,35030,22510
667,21988,35030,22554
668,21994,35025,22589
669,21976,35020,22570
670,21987,35012,22618
671,21983,35003,22644
672,22030,35007,22611
673,22026,35004,22609
674,22033,35003,22590
675,22026,35004,22625
676,21984,35003,22635
677,21977,35008,22657
678,22005,35005,22685
679,22038,35003,22680
680,22055,34996,22679
681,22061,34996,22667
682,22042,34998,22712
683,22052,34999,22711
684,22065,34996,22687
685,22052,34996,22702
686,22070,34995,22736
687,22069,34994,22743
688,22075,34997,22747
689,22077,35003,22715
690,22088,35006,22729
691,22080,35010,22738
692,22068,35014,22737
693,22082,35017,22733
694,22083,35022,22736
695,22066,35025,22742
696,22083,35032,22723
697,22082,35032,22730
698,22079,35034,22732
699,22071,35032,22735
700,22059,35034,22742
701,22065,35029,22758
702,22058,35032,22757
703,22067,35028,22737
704,22063,35030,22738
705,22043,35033,22745
706,22056,35032,22754
707,22051,35033,22753
708,22030,35042,22768
709,22015,35044,22768
710,22016,35041,22781
711,22010,35038,22791
712,22017,35041,22783
713,22018,35037,22784
714,22026,35035,22789
715,22019,35036,22791
716,22023,35038,22779
717,22028,35036,22770
718,22043,35037,22770
719,22038,35038,22762
720,22060,35040,22755
721,22060,35036,22769
722,22054,35040,22762
723,22031,35045,22771
724,22017,35043,22760
725,22047,35047,22754
726,22047,35046,22739
727,22036,35048,22757
728,22020,35053,22752
729,22029,35055,22748
730,22040,35055,22718
731,22037,35056,22716
732,22031,35053,22737
733,22014,35057,22741
734,22010,35058,22744
735,22001,35059,22741
736,22019,35057,22732
737,22021,35060,22705
738,22014,35062,22707
739,22012,35066,22695
740,22013,35062,22718
741,22011,35068,22690
742,22026,35069,22695
743,22006,35071,22703
744,21989,35070,22696
745,22005,35068,22681
746,21971,35073,22666
747,21957,35071,22663
748,21963,35067,22685
749,21950,35073,22673
750,21941,35073,22682
751,21950,35070,22698
752,21935,35070,22670
753,21920,35068,22646
754,21919,35074,22627
755,21920,35070,22613
756,21907,35069,22592
757,21889,35071,22590
758,21900,35073,22591
759,21929,35077,22581
760,21910,35077,22594
761,21914,35075,22563
762,21891,35080,22550
763,21895,35086,22537
764,21876,35089,22519
765,21884,35084,22543
766,21905,35082,22535
767,21895,35080,22557
768,21934,35077,22562
769,21932,35078,22541
770,21939,35075,22525
771,21976,35079,22532
772,21965,35078,22519
773,21945,35074,22471
774,21993,35071,22458
775,21984,35063,22506
776,22019,35058,22488
777,22026,35048,22529
778,22008,35047,22559
779,22000,35047,22592
780,21983,35047,22616
781,21957,35053,22595
782,21964,35049,22601
783,21978,35051,22609
784,21999,35047,22606
785,22012,35050,22594
786,22006,35052,22600
787,22003,35052,22590
788,22027,35065,22583
789,22046,35059,22586
790,22034,35053,22602
791,22050,35052,22616
792,22062,35053,22620
793,22074,35054,22615
794,22085,35053,22637
795,22071,35053,22633
796,22082,35054,22636
797,22058,35060,22649
798,22052,35068,22635
799,22056,35072,22634
800,22093,35076,22622
801,22104,35073,22612
802,22098,35075,22605
803,22100,35072,22609
804,22099,35075,22629
805,22106,35076,22626
806,22132,35076,22635
807,22126,35081,22643
808,22112,35081,22637
809,22104,35080,22632
810,22105,35076,22651
811,22110,35080,22642
812,22115,35081,22634
813,22109,35081,22633
814,22136,35088,22616
815,22127,35091,22608
816,22130,35094,22609
817,22114,35098,22623
818,22104,35100,22623
819,22098,35101,22630
820,22102,35101,22627
821,22104,35104,22616
822,22104,35109,22616
823,22095,35109,22629
824,22098,35113,22620
825,22105,35113,22617
826,22115,35113,22613
827,22107,35114,22616
828,22101,35118,22614
829,22114,35117,22615
830,22106,35115,22609
831,22102,35118,22618
832,22109,35118,22624
833,22099,35119,22598
834,22104,35121,22619
835,22107,35118,22624
836,22115,35121,22607
837,22099,35129,22587
838,22095,35129,22590
839,22080,35132,22603
840,22073,35134,22623
841,22061,35134,22639
842,22066,35137,22618
843,22058,35137,22617
844,22055,35145,22615
845,22050,35149,22614
846,22052,35148,22601
847,22044,35149,22609
848,22033,35145,22609
849,22017,35142,22621
850,22024,35141,22602
851,22025,35141,22616
852,22038,35142,22607
853,22039,35144,22580
854,22032,35149,22564
855,22050,35148,22550
856,22035,35145,22553
857,22032,35147,22519
858,22002,35152,22527
859,22005,35152,22515
860,22005,35160,22532
861,22003,35170,22521
862,21990,35177,22497
863,21969,35187,22481
864,21952,35195,22489
865,21937,35192,22500
866,21964,35191,22464
867,21987,35191,22456
868,21979,35194,22433
869,21956,35194,22448
870,21951,35194,22417
871,21976,35199,22404
872,21930,35200,22437
873,21908,35197,22439
874,21934,35196,22458
875,21938,35200,22472
876,21936,35202,22417
877,21930,35205,22415
878,21957,35202,22413
879,21971,35206,22371
880,21995,35197,22362
881,22015,35198,22387
882,22006,35197,22341
883,22013,35190,22335
884,22033,35181,22391
885,22055,35180,22360
886,22064,35179,22354
887,22116,35174,22300
888,22126,35175,22305
889,22162,35180,22278
890,22166,35179,22281
891,22222,35180,22252
892,22209,35183,22232
893,22228,35188,22234
894,22233,35187,22217
895,22237,35184,22210
896,22257,35181,22212
897,22294,35176,22217
898,22310,35178,22237
899,22327,35172,22209
900,22360,35172,22204
901,22345,35168,22215
902,22349,35170,22226
903,22354,35176,22229
904,22348,35179,22246
905,22338,35179,22234
906,22342,35183,22223
907,22350,35184,22233
908,22365,35181,22244
909,22371,35184,22210
910,22383,35185,22224
911,22386,35183,22239
912,22400,35185,22223
913,22384,35192,22217
914,22385,35191,22184
915,22386,35190,22192
916,22391,35195,22203
917,22390,35198,22207
918,22391,35196,22190
919,22388,35207,22194
920,22374,35211,22200
921,22355,35217,22207
922,22358,35225,22212
923,22340,35229,22223
924,22356,35234,22229
925,22365,35238,22245
926,22356,35242,22214
927,22357,35241,22212
928,22352,35242,22218
929,22369,35235,22220
930,22372,35235,22220
931,22358,35230,22232
932,22342,35228,22229
933,22351,35231,22215
934,22348,35232,22243
935,22350,35232,22253
936,22336,35236,22244
937,22362,35239,22252
938,22360,35244,22234
939,22358,35247,22249
940,22343,35251,22226
941,22332,35254,22253
942,22333,35256,22237
943,22325,35255,22241
944,22339,35253,22239
945,22333,35250,22246
946,22347,35248,22256
947,22322,35252,22248
948,22330,35257,22246
949,22347,35264,22223
950,22321,35266,22240
951,22319,35269,22220
952,22315,35270,22213
953,22297,35272,22213
954,22301,35271,22209
955,22317,35274,22198
956,22313,35274,22195
957,22307,35281,22189
958,22319,35277,22179
959,22301,35281,22201
960,22282,35283,22216
961,22278,35287,22199
962,22252,35288,22191
963,22243,35291,22202
964,22257,35286,22201
965,22254,35288,22198
966,22219,35292,22216
967,22219,35286,22197
968,22213,35293,22187
969,22223,35292,22156
970,22207,35292,22170
971,22187,35293,22172
972,22184,35298,22148
973,22176,35297,22162
974,22190,35300,22153
975,22183,35307,22144
976,22168,35312,22121
977,22151,35323,22122
978,22121,35319,22114
979,22138,35317,22133
980,22133,35317,22123
981,22127,35316,22146
982,22146,35318,22174
983,22129,35314,22157
984,22154,35319,22153
985,22126,35321,22185
986,22113,35324,22153
987,22111,35325,22153
988,22114,35324,22158
989,22100,35321,22173
990,22106,35324,22198
991,22116,35329,22208
992,22094,35333,22203
993,22101,35332,22202
994,22051,35333,22240
995,22023,35341,22232
996,22010,35338,22245
997,22012,35334,22246
998,21988,35340,22257
999,21992,35335,22277
1000,22024,35337,22292
