iteration,1,2,3
1,18661,8983,38897
2,26149,12185,36918
3,26217,13742,35220
4,25909,15687,33112
5,25810,17625,31354
6,25229,19544,29922
7,23365,21622,28736
8,21016,23723,27631
9,18844,25796,26608
10,16793,27576,25855
11,14396,29313,25223
12,12056,30879,24749
13,9714,32405,24501
14,7719,33579,24397
15,6103,34524,24473
16,4481,35368,24636
17,3231,36011,24871
18,2232,36494,25212
19,1527,36877,25577
20,989,37114,26070
21,613,37286,26639
22,390,37409,27160
23,278,37480,27639
24,211,37532,28163
25,151,37582,28715
26,103,37608,29200
27,81,37640,29735
28,65,37659,30189
29,60,37690,30644
30,56,37719,31140
31,36,37743,31562
32,35,37766,31955
33,37,37780,32342
34,38,37794,32772
35,36,37799,33153
36,34,37813,33484
37,26,37825,33864
38,25,37835,34203
39,31,37849,34526
40,31,37858,34780
41,25,37864,35061
42,24,37888,35334
43,24,37896,35582
44,19,37905,35847
45,17,37908,36069
46,15,37921,36301
47,16,37929,36470
48,10,37938,36673
49,8,37947,36883
50,12,37955,37078
51,8,37965,37200
52,10,37975,37355
53,8,37985,37502
54,7,37991,37649
55,7,37997,37787
56,7,37999,37882
57,10,38004,38004
58,10,38013,38110
59,5,38024,38221
60,6,38033,38291
61,10,38041,38369
62,11,38052,38466
63,11,38055,38552
64,5,38059,38637
65,11,38063,38719
66,10,38065,38786
67,9,38067,38834
68,10,38073,38889
69,7,38076,38956
70,7,38081,39000
71,9,38090,39049
72,4,38100,39096
73,7,38109,39154
74,8,38109,39192
75,10,38113,39238
76,6,38116,39280
77,7,38120,39321
78,10,38125,39344
79,8,38128,39369
80,5,38133,39395
81,5,38136,39417
82,3,38134,39446
83,4,38138,39476
84,5,38144,39497
85,3,38148,39514
86,3,38152,39533
87,6,38160,39557
88,7,38164,39573
89,5,38171,39588
90,4,38174,39609
91,11,38177,39620
92,11,38179,39635
93,11,38181,39642
94,7,38173,39658
95,6,38162,39674
96,4,38138,39687
97,3,38094,39697
98,4,38037,39710
99,1,37923,39713
100,2,37804,39717
101,6,37603,39725
102,6,37341,39734
103,6,36994,39740
104,11,36541,39742
105,10,35980,39739
106,14,35259,39735
107,22,34459,39736
108,17,33434,39740
109,21,32294,39743
110,24,31049,39741
111,41,29686,39716
112,50,28170,39703
113,45,26522,39688
114,55,24809,39654
115,69,23157,39632
116,93,21392,39583
117,128,19591,39510
118,151,17878,39445
119,180,16315,39371
120,264,14695,39232
121,378,13166,39105
122,526,11696,38942
123,758,10401,38708
124,1091,9262,38393
125,1596,8209,38023
126,2310,7418,37596
127,3326,6762,37091
128,4732,6288,36474
129,6550,6015,35741
130,8916,5920,34764
131,12046,6011,33485
132,15188,6187,32319
133,19352,6559,30619
134,23406,7068,29009
135,27181,7782,27268
136,30410,8668,25634
137,33347,9660,23914
138,35062,10940,22391
139,35959,12500,20844
140,35708,14114,19651
141,34416,16003,18584
142,32388,18044,17606
143,29552,20260,16770
144,26952,22172,16007
145,24043,24239,15308
146,20879,26189,14823
147,17879,28042,14440
148,14794,29810,14187
149,12322,31211,14072
150,9811,32595,14118
151,7587,33669,14241
152,5881,34583,14442
153,4376,35305,14784
154,3167,35854,15126
155,2237,36296,15597
156,1451,36671,16146
157,995,36887,16656
158,638,37069,17297
159,431,37205,17895
160,309,37299,18511
